fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n_lt_5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,data_year,county_name,fips_full,naics_level,naics_prefix,qp1_usd,ap_usd,emp_noise_label,qp1_noise_label,ap_noise_label
48,201,23833/,G,930,G,14540,G,69155,130,78.0,27.0,12.0,10.0,3.0,,,,,,,,,2023,"Harris County, TX",48201,5-digit,23833,14540000,69155000,low,low,low
48,201,238330,G,930,G,14540,G,69155,130,78.0,27.0,12.0,10.0,3.0,,,,,,,,,2023,"Harris County, TX",48201,6-digit,238330,14540000,69155000,low,low,low
48,201,23834/,G,714,G,8674,G,38820,78,47.0,17.0,4.0,7.0,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,23834,8674000,38820000,low,low,low
48,201,238340,G,714,G,8674,G,38820,78,47.0,17.0,4.0,7.0,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,238340,8674000,38820000,low,low,low
48,201,23835/,G,2076,G,32264,G,132698,203,131.0,18.0,30.0,17.0,3.0,3.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23835,32264000,132698000,low,low,low
48,201,238350,G,2076,G,32264,G,132698,203,131.0,18.0,30.0,17.0,3.0,3.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238350,32264000,132698000,low,low,low
48,201,23839/,G,2697,G,38191,G,162743,114,57.0,11.0,16.0,20.0,3.0,5.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23839,38191000,162743000,low,low,low
48,201,238390,G,2697,G,38191,G,162743,114,57.0,11.0,16.0,20.0,3.0,5.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238390,38191000,162743000,low,low,low
48,201,2389//,G,13110,G,219045,G,905597,627,308.0,119.0,75.0,67.0,34.0,16.0,6.0,,,,,,,2023,"Harris County, TX",48201,4-digit,2389,219045000,905597000,low,low,low
48,201,23891/,G,6688,G,110838,G,469562,233,94.0,37.0,40.0,34.0,17.0,6.0,4.0,,,,,,,2023,"Harris County, TX",48201,5-digit,23891,110838000,469562000,low,low,low
48,201,238910,G,6688,G,110838,G,469562,233,94.0,37.0,40.0,34.0,17.0,6.0,4.0,,,,,,,2023,"Harris County, TX",48201,6-digit,238910,110838000,469562000,low,low,low
48,201,23899/,G,6422,G,108207,G,436035,394,214.0,82.0,35.0,33.0,17.0,10.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23899,108207000,436035000,low,low,low
48,201,238990,G,6422,G,108207,G,436035,394,214.0,82.0,35.0,33.0,17.0,10.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238990,108207000,436035000,low,low,low
48,201,31----,G,154890,G,3435381,G,13129771,4126,1427.0,693.0,654.0,688.0,319.0,224.0,82.0,33.0,6.0,4.0,,,,2023,"Harris County, TX",48201,2-digit,31,3435381000,13129771000,low,low,low
48,201,311///,G,9376,G,100022,G,392579,373,139.0,85.0,62.0,40.0,30.0,11.0,4.0,,,,,,,2023,"Harris County, TX",48201,3-digit,311,100022000,392579000,low,low,low
48,201,3111//,J,16,H,228,H,1122,6,4.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,4-digit,3111,228000,1122000,high,medium,medium
48,201,31111/,J,16,H,228,H,1122,6,4.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,31111,228000,1122000,high,medium,medium
48,201,311111,J,7,J,32,G,265,4,3.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,311111,32000,265000,high,high,low
48,201,3112//,G,175,G,3210,G,12695,10,5.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,4-digit,3112,3210000,12695000,low,low,low
48,201,31121/,G,159,G,2975,G,11881,6,,,,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,31121,2975000,11881000,low,low,low
48,201,311211,H,68,J,1125,J,5048,4,,,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,311211,1125000,5048000,medium,high,high
48,201,31122/,J,16,H,235,G,814,4,3.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,31122,235000,814000,high,medium,low
48,201,311225,J,13,G,212,G,689,3,,,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,311225,212000,689000,high,low,low
48,201,3113//,G,167,G,1041,G,4242,11,5.0,,3.0,,,,,,,,,,,2023,"Harris County, TX",48201,4-digit,3113,1041000,4242000,low,low,low
